Index,Comment,Label
1,quạt mua được 10 ngày nhưng mở chế độ làm mát thì nước bắn ra phía trước. không biết tình trạng khắc phục được không. mong được phản hồi.,0
2,"quạt mát lắm, mẫu mã đẹp",2
3,"tôi tên hữu hanh đt xxxx042928 ngày 1152024 tôi có mua máy quạt làm mát không khí sonhouse shd 7727kg bảo hành 12 tháng. tháng 102024 remote điều kiển từ xa hư bấm không ăn. tôi điện báo bảo hành điện máy xanh, ngày 21102024 bảo hành hãng có xuống 2 anh nhân viên mặc áo công ty tnhh điện lạnh cường sửa remote không được, có đem theo 1 remote khác thì mở lên, 2 chú này nói remote không bảo hành bảo tôi mua giá 350.000đ1 cái tôi thấy giá rất cao. năm trước tôi xài máy làm mát không khí lifan sau 2 năm cũng hư remote lên chỗ bán quạt tư nhân anh mãi chợ thị trấn ba tri mua 1 remote lifan giá 90.000 đ về xài cũng gần 2 năm nữa quạt làm mát lifan đãu hư nhưng remote còn xài được cho quạt lifan treo tường.đề nghị điện máy xanh có chính sách bảo hành chớ máy mới mua xài chưa được 6 tháng mà hư remote bảo phải mua giá 350.000 đồng là bằng 1 cái quạt bàn rồi. người thân bạn bè làm sao dám mua quạt của điện máy xanh nữa.",0
4,mát ok,2
5,"quạt mát , dể dùng",2
6,sài quạt điều hoà nhiệt độ mát dễ chịu ạ,2
7,mùa nóng oi bức. có cây này mát hẵn tiết kiệm điện nữa. good lắm,2
8,rất tệ và rất bực mình. mới mua thì về chảy nước tùm lum. sau đó đổi cái mới. đổi cái mới về xài được 1 tháng hơn thì mõi lần quạt là bắn nước ra ngoài ước hết sàn nhà.giờ thì lúc bắn lúc không. rất là bực mình. máy quạt hơi nước mà y như máy phun nước. chán thật sự,0
9,mình mua được 4 tháng ít dùng bên điện máy xanh có thu mua lại không ạ,0
10,quạt êm và mát,2
11,"chiều nay mới giao hàng. dịch vụ từ nhân viên điện máy xanh khá tốt, gọi điện trước khi giao hàng, linh động thời gian giao, nhân viên nhiệt tình.đặt trên web tại thị trường trong tỉnh không có nên chờ hàng 10 ngày, lấy từ cửa hàng khác về.sau hơn 3h chạy test thử thấy máy ok, quạt tốc độ max gió mạnh nhưng độ ồn chấp nhận được. còn các tốc độ 1,2 thì quạt êm.bật chế độ làm mát bơm nước 29 độ thì nhiệt độ chênh thấp hơn 2 độ so với không làm mát 31 độ, không dùng đá làm lạnh. bật nghe tiếng nước róc rách cũng vui tai.máy có remote, phím trên máy thì cảm ứng trông cũng sang phết.tổng tt 3.890k. với giá tiền này nhận về cái quạt như vậy thì ok, hài lòng. hy vọng đang dùng đừng đổ bệnh.",2
12,mới mua tại điện máy xanh an nhơn. giá website là 3890k nhưng không bạn nhân viên nào tư vấn mình mua giá website cả. mua tại cửa hàng 4390k. nghĩ thật buồn. kiểu không bị lừa dối,1
13,mình cần mua tấm làm mát mua ở đâu dị mọi người,2
14,"mình mua máy này ngày 2772024. máy được giao tới sử dụng thì cánh quạt bị lệch tâm, chém vào lớp tổ ong bên trái. điện máy xanh đổi cho cái mới vào ngày 28072024, cánh quạt không còn lệch tâm, nhưng nước thì không bơm lên được mình đã bơm nước lớn hơn min và gần chạm max. mình rất thất vọng về sản phẩm sunhouse shd7727 này, nhưng bù lại dịch vụ chăm sóc khách hàng và đổi trả nhanh. hi vọng điện máy xanh kiểm tra hàng kỹ lưỡng trước khi giao. trân trọng.",0
15,tốt tiện ích,2
16,"xài không ổn, rất hầm",0
17,sài tốt em nhé,2
18,mới sử dụng nên chưa biết sao nhưng sài quạt mạnh nhé,2
19,nhanh hư quá.không làm mát được nữa,0
21,rất mau bẩn nhưng không vệ sinh được vì dán bảo hành đè lên ốc mở lưới bụi.,0
